"","personid","variable","value","alt","cs","choice","Var11","Var12","Var21","Var22","Var31","Var32","Var41","Var42","Var51","Var52","Var53"
"set1.alt1",1,"1","A",1,1,1,-1,-1,1,0,1,0,0,1,0,0,1
"set1.alt2",1,"1","A",2,1,0,1,0,0,1,0,1,1,0,0,0,1
"set2.alt1",1,"2","A",1,2,1,0,1,-1,-1,1,0,1,0,0,1,0
"set2.alt2",1,"2","A",2,2,0,1,0,-1,-1,1,0,-1,-1,1,0,0
"set3.alt1",1,"3","B",1,3,0,0,1,0,1,1,0,0,1,-1,-1,-1
"set3.alt2",1,"3","B",2,3,1,1,0,1,0,0,1,0,1,0,1,0
"set4.alt1",1,"4","A",1,4,1,0,1,0,1,1,0,1,0,0,0,1
"set4.alt2",1,"4","A",2,4,0,0,1,-1,-1,0,1,1,0,0,1,0
"set5.alt1",1,"5","A",1,5,1,0,1,1,0,1,0,-1,-1,0,0,1
"set5.alt2",1,"5","A",2,5,0,1,0,0,1,1,0,0,1,1,0,0
"set6.alt1",1,"6","B",1,6,0,-1,-1,-1,-1,-1,-1,0,1,0,0,1
"set6.alt2",1,"6","B",2,6,1,-1,-1,1,0,0,1,0,1,1,0,0
"set1.alt1.1",2,"1","A",1,7,1,-1,-1,1,0,1,0,0,1,0,0,1
"set1.alt2.1",2,"1","A",2,7,0,1,0,0,1,0,1,1,0,0,0,1
"set2.alt1.1",2,"2","A",1,8,1,0,1,-1,-1,1,0,1,0,0,1,0
"set2.alt2.1",2,"2","A",2,8,0,1,0,-1,-1,1,0,-1,-1,1,0,0
"set3.alt1.1",2,"3","A",1,9,1,0,1,0,1,1,0,0,1,-1,-1,-1
"set3.alt2.1",2,"3","A",2,9,0,1,0,1,0,0,1,0,1,0,1,0
"set4.alt1.1",2,"4","A",1,10,1,0,1,0,1,1,0,1,0,0,0,1
"set4.alt2.1",2,"4","A",2,10,0,0,1,-1,-1,0,1,1,0,0,1,0
"set5.alt1.1",2,"5","A",1,11,1,0,1,1,0,1,0,-1,-1,0,0,1
"set5.alt2.1",2,"5","A",2,11,0,1,0,0,1,1,0,0,1,1,0,0
"set6.alt1.1",2,"6","B",1,12,0,-1,-1,-1,-1,-1,-1,0,1,0,0,1
"set6.alt2.1",2,"6","B",2,12,1,-1,-1,1,0,0,1,0,1,1,0,0
"set1.alt1.2",3,"1","B",1,13,0,-1,-1,1,0,1,0,0,1,0,0,1
"set1.alt2.2",3,"1","B",2,13,1,1,0,0,1,0,1,1,0,0,0,1
"set2.alt1.2",3,"2","A",1,14,1,0,1,-1,-1,1,0,1,0,0,1,0
"set2.alt2.2",3,"2","A",2,14,0,1,0,-1,-1,1,0,-1,-1,1,0,0
"set3.alt1.2",3,"3","B",1,15,0,0,1,0,1,1,0,0,1,-1,-1,-1
"set3.alt2.2",3,"3","B",2,15,1,1,0,1,0,0,1,0,1,0,1,0
"set4.alt1.2",3,"4","B",1,16,0,0,1,0,1,1,0,1,0,0,0,1
"set4.alt2.2",3,"4","B",2,16,1,0,1,-1,-1,0,1,1,0,0,1,0
"set5.alt1.2",3,"5","B",1,17,0,0,1,1,0,1,0,-1,-1,0,0,1
"set5.alt2.2",3,"5","B",2,17,1,1,0,0,1,1,0,0,1,1,0,0
"set6.alt1.2",3,"6","B",1,18,0,-1,-1,-1,-1,-1,-1,0,1,0,0,1
"set6.alt2.2",3,"6","B",2,18,1,-1,-1,1,0,0,1,0,1,1,0,0
"set1.alt1.3",4,"1","A",1,19,1,-1,-1,1,0,1,0,0,1,0,0,1
"set1.alt2.3",4,"1","A",2,19,0,1,0,0,1,0,1,1,0,0,0,1
"set2.alt1.3",4,"2","A",1,20,1,0,1,-1,-1,1,0,1,0,0,1,0
"set2.alt2.3",4,"2","A",2,20,0,1,0,-1,-1,1,0,-1,-1,1,0,0
"set3.alt1.3",4,"3","A",1,21,1,0,1,0,1,1,0,0,1,-1,-1,-1
"set3.alt2.3",4,"3","A",2,21,0,1,0,1,0,0,1,0,1,0,1,0
"set4.alt1.3",4,"4","B",1,22,0,0,1,0,1,1,0,1,0,0,0,1
"set4.alt2.3",4,"4","B",2,22,1,0,1,-1,-1,0,1,1,0,0,1,0
"set5.alt1.3",4,"5","B",1,23,0,0,1,1,0,1,0,-1,-1,0,0,1
"set5.alt2.3",4,"5","B",2,23,1,1,0,0,1,1,0,0,1,1,0,0
"set6.alt1.3",4,"6","B",1,24,0,-1,-1,-1,-1,-1,-1,0,1,0,0,1
"set6.alt2.3",4,"6","B",2,24,1,-1,-1,1,0,0,1,0,1,1,0,0
"set1.alt1.4",5,"1","A",1,25,1,-1,-1,1,0,1,0,0,1,0,0,1
"set1.alt2.4",5,"1","A",2,25,0,1,0,0,1,0,1,1,0,0,0,1
"set2.alt1.4",5,"2","A",1,26,1,0,1,-1,-1,1,0,1,0,0,1,0
"set2.alt2.4",5,"2","A",2,26,0,1,0,-1,-1,1,0,-1,-1,1,0,0
"set3.alt1.4",5,"3","B",1,27,0,0,1,0,1,1,0,0,1,-1,-1,-1
"set3.alt2.4",5,"3","B",2,27,1,1,0,1,0,0,1,0,1,0,1,0
"set4.alt1.4",5,"4","A",1,28,1,0,1,0,1,1,0,1,0,0,0,1
"set4.alt2.4",5,"4","A",2,28,0,0,1,-1,-1,0,1,1,0,0,1,0
"set5.alt1.4",5,"5","B",1,29,0,0,1,1,0,1,0,-1,-1,0,0,1
"set5.alt2.4",5,"5","B",2,29,1,1,0,0,1,1,0,0,1,1,0,0
"set6.alt1.4",5,"6","B",1,30,0,-1,-1,-1,-1,-1,-1,0,1,0,0,1
"set6.alt2.4",5,"6","B",2,30,1,-1,-1,1,0,0,1,0,1,1,0,0
"set1.alt1.5",6,"1","B",1,31,0,-1,-1,1,0,1,0,0,1,0,0,1
"set1.alt2.5",6,"1","B",2,31,1,1,0,0,1,0,1,1,0,0,0,1
"set2.alt1.5",6,"2","A",1,32,1,0,1,-1,-1,1,0,1,0,0,1,0
"set2.alt2.5",6,"2","A",2,32,0,1,0,-1,-1,1,0,-1,-1,1,0,0
"set3.alt1.5",6,"3","B",1,33,0,0,1,0,1,1,0,0,1,-1,-1,-1
"set3.alt2.5",6,"3","B",2,33,1,1,0,1,0,0,1,0,1,0,1,0
"set4.alt1.5",6,"4","B",1,34,0,0,1,0,1,1,0,1,0,0,0,1
"set4.alt2.5",6,"4","B",2,34,1,0,1,-1,-1,0,1,1,0,0,1,0
"set5.alt1.5",6,"5","B",1,35,0,0,1,1,0,1,0,-1,-1,0,0,1
"set5.alt2.5",6,"5","B",2,35,1,1,0,0,1,1,0,0,1,1,0,0
"set6.alt1.5",6,"6","B",1,36,0,-1,-1,-1,-1,-1,-1,0,1,0,0,1
"set6.alt2.5",6,"6","B",2,36,1,-1,-1,1,0,0,1,0,1,1,0,0
"set1.alt1.6",7,"1","A",1,37,1,-1,-1,1,0,1,0,0,1,0,0,1
"set1.alt2.6",7,"1","A",2,37,0,1,0,0,1,0,1,1,0,0,0,1
"set2.alt1.6",7,"2","A",1,38,1,0,1,-1,-1,1,0,1,0,0,1,0
"set2.alt2.6",7,"2","A",2,38,0,1,0,-1,-1,1,0,-1,-1,1,0,0
"set3.alt1.6",7,"3","B",1,39,0,0,1,0,1,1,0,0,1,-1,-1,-1
"set3.alt2.6",7,"3","B",2,39,1,1,0,1,0,0,1,0,1,0,1,0
"set4.alt1.6",7,"4","A",1,40,1,0,1,0,1,1,0,1,0,0,0,1
"set4.alt2.6",7,"4","A",2,40,0,0,1,-1,-1,0,1,1,0,0,1,0
"set5.alt1.6",7,"5","B",1,41,0,0,1,1,0,1,0,-1,-1,0,0,1
"set5.alt2.6",7,"5","B",2,41,1,1,0,0,1,1,0,0,1,1,0,0
"set6.alt1.6",7,"6","B",1,42,0,-1,-1,-1,-1,-1,-1,0,1,0,0,1
"set6.alt2.6",7,"6","B",2,42,1,-1,-1,1,0,0,1,0,1,1,0,0
"set1.alt1.7",8,"1","B",1,43,0,-1,-1,1,0,1,0,0,1,0,0,1
"set1.alt2.7",8,"1","B",2,43,1,1,0,0,1,0,1,1,0,0,0,1
"set2.alt1.7",8,"2","A",1,44,1,0,1,-1,-1,1,0,1,0,0,1,0
"set2.alt2.7",8,"2","A",2,44,0,1,0,-1,-1,1,0,-1,-1,1,0,0
"set3.alt1.7",8,"3","A",1,45,1,0,1,0,1,1,0,0,1,-1,-1,-1
"set3.alt2.7",8,"3","A",2,45,0,1,0,1,0,0,1,0,1,0,1,0
"set4.alt1.7",8,"4","A",1,46,1,0,1,0,1,1,0,1,0,0,0,1
"set4.alt2.7",8,"4","A",2,46,0,0,1,-1,-1,0,1,1,0,0,1,0
"set5.alt1.7",8,"5","A",1,47,1,0,1,1,0,1,0,-1,-1,0,0,1
"set5.alt2.7",8,"5","A",2,47,0,1,0,0,1,1,0,0,1,1,0,0
"set6.alt1.7",8,"6","B",1,48,0,-1,-1,-1,-1,-1,-1,0,1,0,0,1
"set6.alt2.7",8,"6","B",2,48,1,-1,-1,1,0,0,1,0,1,1,0,0
"set1.alt1.8",9,"1","B",1,49,0,-1,-1,1,0,1,0,0,1,0,0,1
"set1.alt2.8",9,"1","B",2,49,1,1,0,0,1,0,1,1,0,0,0,1
"set2.alt1.8",9,"2","A",1,50,1,0,1,-1,-1,1,0,1,0,0,1,0
"set2.alt2.8",9,"2","A",2,50,0,1,0,-1,-1,1,0,-1,-1,1,0,0
"set3.alt1.8",9,"3","A",1,51,1,0,1,0,1,1,0,0,1,-1,-1,-1
"set3.alt2.8",9,"3","A",2,51,0,1,0,1,0,0,1,0,1,0,1,0
"set4.alt1.8",9,"4","A",1,52,1,0,1,0,1,1,0,1,0,0,0,1
"set4.alt2.8",9,"4","A",2,52,0,0,1,-1,-1,0,1,1,0,0,1,0
"set5.alt1.8",9,"5","A",1,53,1,0,1,1,0,1,0,-1,-1,0,0,1
"set5.alt2.8",9,"5","A",2,53,0,1,0,0,1,1,0,0,1,1,0,0
"set6.alt1.8",9,"6","B",1,54,0,-1,-1,-1,-1,-1,-1,0,1,0,0,1
"set6.alt2.8",9,"6","B",2,54,1,-1,-1,1,0,0,1,0,1,1,0,0
"set1.alt1.9",10,"1","B",1,55,0,-1,-1,1,0,1,0,0,1,0,0,1
"set1.alt2.9",10,"1","B",2,55,1,1,0,0,1,0,1,1,0,0,0,1
"set2.alt1.9",10,"2","A",1,56,1,0,1,-1,-1,1,0,1,0,0,1,0
"set2.alt2.9",10,"2","A",2,56,0,1,0,-1,-1,1,0,-1,-1,1,0,0
"set3.alt1.9",10,"3","A",1,57,1,0,1,0,1,1,0,0,1,-1,-1,-1
"set3.alt2.9",10,"3","A",2,57,0,1,0,1,0,0,1,0,1,0,1,0
"set4.alt1.9",10,"4","A",1,58,1,0,1,0,1,1,0,1,0,0,0,1
"set4.alt2.9",10,"4","A",2,58,0,0,1,-1,-1,0,1,1,0,0,1,0
"set5.alt1.9",10,"5","A",1,59,1,0,1,1,0,1,0,-1,-1,0,0,1
"set5.alt2.9",10,"5","A",2,59,0,1,0,0,1,1,0,0,1,1,0,0
"set6.alt1.9",10,"6","A",1,60,1,-1,-1,-1,-1,-1,-1,0,1,0,0,1
"set6.alt2.9",10,"6","A",2,60,0,-1,-1,1,0,0,1,0,1,1,0,0
"set1.alt1.10",11,"1","A",1,61,1,-1,-1,1,0,1,0,0,1,0,0,1
"set1.alt2.10",11,"1","A",2,61,0,1,0,0,1,0,1,1,0,0,0,1
"set2.alt1.10",11,"2","A",1,62,1,0,1,-1,-1,1,0,1,0,0,1,0
"set2.alt2.10",11,"2","A",2,62,0,1,0,-1,-1,1,0,-1,-1,1,0,0
"set3.alt1.10",11,"3","A",1,63,1,0,1,0,1,1,0,0,1,-1,-1,-1
"set3.alt2.10",11,"3","A",2,63,0,1,0,1,0,0,1,0,1,0,1,0
"set4.alt1.10",11,"4","A",1,64,1,0,1,0,1,1,0,1,0,0,0,1
"set4.alt2.10",11,"4","A",2,64,0,0,1,-1,-1,0,1,1,0,0,1,0
"set5.alt1.10",11,"5","A",1,65,1,0,1,1,0,1,0,-1,-1,0,0,1
"set5.alt2.10",11,"5","A",2,65,0,1,0,0,1,1,0,0,1,1,0,0
"set6.alt1.10",11,"6","A",1,66,1,-1,-1,-1,-1,-1,-1,0,1,0,0,1
"set6.alt2.10",11,"6","A",2,66,0,-1,-1,1,0,0,1,0,1,1,0,0
"set1.alt1.11",12,"1","A",1,67,1,-1,-1,1,0,1,0,0,1,0,0,1
